Title,Type,Standard Classification,Bureaus,Bus Capability,Bus Priority,Description (Derived HTML),App Support Model,Cloud Service type,App hosting environment,Related App,Business Owner,Product Owner,Support Owner,Public,Displayed In
Esri Development Products,Application Bundle,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",Medium,<p>Grouping of Esri products used in the development of geospacial applications</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,"ArcGIS AppStudio, ArcGIS API for JavaScript, ArcGIS Runtime SDK for .NET, ArcObjects SDK for .NET",,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Esri Mobile Apps,Application Bundle,City Standard,Citywide,"Geospatial Analytics, Mapping / Geospatial",High,<p>Grouping of Esri products used to mobilize the geospacial applications developed by the City</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,"ArcGIS AppStudio Player, ArcGIS Collector, ArcGIS Explorer, ArcGIS Field Maps, ArcGIS Navigator, ArcGIS Quick Capture, ArcGIS Survey123, ArcGIS Workforce",,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Esri Servers,Application Bundle,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",High,<p>Grouping of Esri servers used to serve the geospacial applications developed by the City.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,"ArcGIS Enterprise Server, ArcGIS Engine, ArcGIS GeoEvent Server",,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Cognos Analytics,Application Bundle,City Standard,Citywide,"Information Sharing, Data Analytics",,<p>Cognos Analytics is a suite of tools used to create a full breadth of business intellegence and data visualization solutions.</p><h2>Publisher</h2><p>IBM</p>,Full Support,,On Premise,"Cognos Impromptu, Cognos TM1, Cognos Cube Designer, Cognos Dynamic Query Analyzer (DQA), Cognos Framework Manager, Cognos Life Cycle Manager (LCM)",,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Tenable.sc,Application Bundle,Bureau Standard,BTS,"Cyber Security Management, Audit Trail Capture and Analysis",,<p>Nessus is an open-source network vulnerability scanner that uses the Common Vulnerabilities and Exposures architecture for easy cross-linking between compliant security tools.</p>,Full Support,,On Premise,"Nessus, Nessus Manager",,christopher.paidhrin@portlandoregon.gov,christopher.paidhrin@portlandoregon.gov,no,Technology Services
Riverbed Steel Central,Application Bundle,City Standard,citywide,"Support Delivery of Services, System and Network Monitoring",,"<p>Integrates data from Digital Experience Management (AppResponse, AppInternals, NetSensor/NetCollector and NetProfiler) and SteelHead to create a centralized, dynamic view of an enterprise’s application performance environment</p><h2>Publisher</h2><p>Riverbed Technology, Inc.</p>",Full Support,,On Premise,"AppResponse, Riverbed Flow Gateway, Riverbed Net Profiler, Riverbed Packet Analyzer",,Carolyn.Glass@portlandoregon.gov," matt.rounds@portlandoregon.gov",Yes,Technology Services
Snow,Application Bundle,City Standard,Citywide,"Support Delivery of Services, System and Network Monitoring",,<p>SNOW provides asset management and license management inventoring all devices in the company.</p><h2>Publisher</h2><p>Snow</p>,Full Support,,On Premise,"Snow Inventory, Snow License Manager",,Carolyn.Glass@portlandoregon.gov,mike.lamb@portlandoregon.gov,Yes,Technology Services
Windows Native Utilities,Application Bundle,City Standard,CityWide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>Native application software, which is aimed at directly performing tasks that support and enhance programs and the data on a computer</p><h2>Publisher</h2><p>Microsoft Corp</p>",Full Support,,On Premise,"BitLocker, Windows Built-in CD/DVD Creator, Windows Firewall, Windows Installer, Windows Zip utility",,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Abandoned Autos,Application,Bureau Standard,PBOT,"Ground Transportation, Surface Transportation",,"<p>Abandoned Autos tracks vehicles abandoned in the right-of-way and generates warning letters, notices to tow, and sales certificates.</p><h2>Publisher</h2><p>City of Portland</p>",Vertical Apps Support,,On Premise,,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
AccuRoute,Application,City Standard - Restricted,Citywide,"Communications, Email",,"<p>AccuRoute is a capture, fax, and workflow solution that enables the capture, processing, delivery, and archival of critical documents via integratiion with Exchange Online.</p><h2>Publisher</h2><p>Upland Software</p><h2>Current version</h2><p>5.0</p><h2>Additional information</h2><ul><li>The email client may only be used with public and non-sensitive data types. Inclusion of any protected data type must be protected by end-to-end encryption. That feature is not currently available.</li></ul>",Full Support,SaaS,Cloud,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
Actuate,Application,Legacy Standard,"BTS,BRFS","Support Delivery of Services, IT System Development and Integration Support",,"<p>Actuate is a development tool used to write reports</p><h2>Publisher</h2><p>OpenText</p><h2>Software Tiers</h2><ul><li>Refer to the <a href=""https://www.opentext.com/products-and-solutions/products/ai-and-analytics"">OpenText Analytics and Reporting</a> offerings documented on the OpenText website.</li></ul><h2>Additional information</h2><ul><li>Actuate Corporation was aqkuired by OpenTex in January 2015. The reporting tool was folded into several offerings by OpenText and rebranded. Actuate is no longer available for purchase.</li></ul>",Bureau / Vendor Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
ActiveX Data Objects (ADO.Net),Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>ADO.NET is a data access technology from the Microsoft .NET Framework that provides communication between relational and non-relational systems through a common set of components.</p><h2>Publisher</h2><p>Microsoft</p><h2>Additional information</h2><ul><li>ADO.NET is conceptually divided into consumers and data providers.<ul><li>2</li></ul> The consumers are the applications that need access to the data, and the providers are the software components that implement the interface and thereby provide the data to the consumer.</li></ul>",Full Support,,On Premise,.Net Framework,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
AIX,Application,Legacy Standard,BTS,"Support Delivery of Services,Provide and Maintain IT Infrastructure",,<p>AIX is an enterprise-class UNIX operating system for the POWER processor architecture found in IBM Power Systems.</p><h2>Publisher</h2><p>IBM</p><h2>Current version</h2><p>9.x</p><h2>Additional information</h2><ul><li>All AIX should be retired from use with the completion of the SAP Hana project.</li></ul>,Limited Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
Pro+ Parking Management,Application,Bureau Standard,PBOT,"Ground Transportation, Parking",,"<p>The Pro+ Parking Management solution communicates with Pro+ and OPUSeries devices in real-time to provide a dynamic, real-time view of assets and enables management of revenue and access control functions in one scalable application.</p><h2>Publisher</h2><p>Amano McGann</p>",Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
Subversion for Visual Studio,Application,Bureau Standard,BTS,"Support Delivery of Services, IT System Development and Integration Support",,"<p>AnkhSVN is an open source Subversion source control plug-in for Visual Studio. The software performs the most common version control operations directly from inside the Microsoft Visual Studio IDE.</p><h2>Publisher</h2><p>AnkhSVN Project</p><h2>Additional information</h2><ul><li>The open source project is sponsored by CollabNet and can be viewed at <a href=""http://help.collab.net/index.jsp?topic=/faq/ankh_whatis.html"">this link</a>.</li></ul>",Bureau / Vendor Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
Ansible Automation Platform,Application,City Standard,Citywide,"Support Delivery of Services, System and Network Monitoring",,"<p>Ansible Automation Platform provides an enterprise framework for building and operating IT automation at scale. It enables users across an organization to create, share, and manage automation—from development and operations to security and network teams.</p><h2>Publisher</h2><p>Red Hat</p><h2>Software Tiers</h2><ul><li>There is a free, on premise version available to install and configure.</li><li>There is also a fully managed cloud deployment on Microsoft Azure available by subscription.</li></ul>",Full Support,SaaS,Hybrid,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
Apache HTTP Server,Application,Bureau Standard,BTS,"Support Delivery of Services, Provide and Maintain IT Infrastructure",,"<p>The Apache HTTP Server Project is an effort to develop and maintain an open-source HTTP server for modern operating systems including UNIX and Windows. The goal of this project is to provide a secure, efficient and extensible server that provides HTTP services in sync with the current HTTP standards.</p><h2>Publisher</h2><p>Apache Project</p><h2>Additional information</h2><ul><li>The open source project can be viewed at <a href=""https://httpd.apache.org/"">this link</a>.</li></ul>",Bureau / Vendor Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
StruxureWare Data Center Expert,Application,Bureau Standard,BTS,"Support Delivery of Services, System and Network Monitoring",High,"<p>A scaleable virtual application that collects, organizes, and distributes critical device information in a data center, through use of proprietary appliances, and provides a comprehensive view of equipment.</p><h2>Publisher</h2><p>American Power Conversion (APC) Corporation</p><h2>Additional information</h2><ul><li>Available separately or as part of the EcoStruxure product.</li><li>In use with InfraStruxure Cental appliances and APC Monitors.</li></ul>",Bureau / Vendor Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
ArcGIS Toolbox,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",Medium,<p>The ArcGIS Toolbox is a custom sritten collection of tools used at the City for geospacial applications</p><h2>Publisher</h2><p>City of Portland</p>,Full Support,,On Premise,Esri Development Products,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS AppStudio,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",Medium,<p>ArcGIS AppStudio is a low-code development environment that provides the technology to build geo-enabled cross-platform native applications from a single code base.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,Esri Development Products,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS AppStudio Player,Application,Bureau Standard,citywide,"Geospatial Analytics, Mapping / Geospatial",High,<p>ArcGis AppStudio Player is a runtime environment that allows ArcGIS AppStudio applications to be managed and execute.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,Esri Mobile Apps,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Collector,Application,City Standard,citywide,"Geospatial Analytics, Mapping / Geospatial",High,<p>ArcGIS Collector enables organizations to use maps and gather data in th the field and to synchronize the results with their enterprise GIS data.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,Esri Mobile Apps,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Desktop,Application,City Standard,citywide,"Geospatial Analytics, Mapping / Geospatial",High,"<p>ArcGIS Desktop is a complete desktop GIS software suite that allows you to create maps, perform spatial analysis and manage data.</p><h2>Publisher</h2><p>Esri</p><h2>Software Tiers</h2><ul><li>Basic - Capabilies include vizulaization, map building, data editing, CAD imports, data conversions, and data queries</li><li>Standard - Capabilities include everything from Basic and adds multi-user platform and editing of enterprise geo-databases</li><li>Advanced - Capabilities include evertything from Standard and adds geo-processing and analytic tools</li></ul><h2>Additional information</h2><ul><li>ArcGIS Pro</li><li>ArcMap and ArcCatalog</li><li>ArcGIS Online</li><li>The City's deployment includes ArcSDE to support geodata versioning within SQLServer</li></ul>",Full Support,,On Premise,,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Engine,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",High,<p>ArcGIS Engine is a complete library of embeddable geographic information system (GIS) components for developers to build custom applications.</p><h2>Publisher</h2><p>Esri</p><h2>Current version</h2><p>10.8.x</p><h2>Additional information</h2><ul><li>All versions prior to 10.7 are considered to be Legacy Standards.</li></ul>,Full Support,,On Premise,Esri Servers,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
